elo_home,elo_away,elo_diff,home_adv,ppg5_home,ppg5_away,ppg10_home,ppg10_away,gf5_home,ga5_home,gf5_away,ga5_away,gd10_home,gd10_away,streak_home,streak_away,rest_home,rest_away,h2h_winrate_home,h2h_drawrate,h2h_gd_home,h2h_games,importance,label
1616.6108077372385,1212.5093189651282,469.1014887721103,1,1.6,1.4,1.6,0.8,0.8,0.4,0.8,0.8,0.3,-0.8,1,0,90,30,0.6666666666666666,0.3333333333333333,2.6666666666666665,3,50.0,home_win
1758.8097799840198,1390.523775655054,433.2860043289659,1,2.0,1.0,1.9,1.2,1.8,1.0,1.4,1.4,0.8,0.0,1,0,31,6,0.7272727272727273,0.09090909090909091,1.4545454545454546,11,50.0,home_win
1543.5901808532035,1457.802962703891,150.7872181493126,1,2.0,1.8,1.7,1.6,1.2,1.0,1.6,1.0,0.3,0.4,-1,1,32,34,0.0,0.5,-0.5,2,50.0,home_win
1491.9969917365445,1225.5822600436393,331.4147316929052,1,0.8,0.4,1.0,0.3,0.8,1.2,0.8,2.2,-0.1,-1.7,-1,-2,34,90,1.0,0.0,1.5,2,50.0,home_win
1668.9623952449856,1475.6600440642708,258.3023511807148,1,1.4,2.0,1.3,1.6,0.2,0.0,1.4,1.0,0.2,0.2,0,-1,30,30,0.75,0.0,1.75,4,50.0,home_win
1543.1856738401602,1385.587414517144,222.59825932301624,1,1.2,0.4,1.4,0.7,1.0,2.0,0.0,0.6,-0.5,-0.4,1,-1,32,90,0.625,0.1875,1.0625,16,50.0,home_win
1875.7790291881836,1523.4462911877836,417.3327380004,1,2.6,1.6,2.4,1.1,2.4,0.4,1.0,0.6,1.3,-0.3,0,0,30,32,0.3333333333333333,0.5,0.5,6,50.0,home_win
2047.8327727920769,1847.8894933400506,264.9432794520262,1,2.6,1.8,2.1,1.3,2.4,0.8,1.0,0.6,1.1,0.0,2,1,30,30,0.5294117647058824,0.3137254901960784,1.0294117647058822,102,50.0,draw
1702.4860474430393,1540.0960902501622,227.3899571928771,1,1.4,1.6,1.7,1.6,1.2,1.0,1.8,1.0,0.5,0.4,-1,-1,30,31,0.75,0.25,3.0,8,50.0,home_win
1496.9140279781072,1394.6183114528085,167.29571652529876,1,1.6,1.4,1.3,1.2,1.4,1.2,2.0,1.0,0.1,0.3,-1,-2,33,90,0.5,0.25,0.0,0,50.0,draw
1635.168717966549,1838.3777376229218,-138.2090196563729,1,0.6,1.2,0.3,1.3,1.0,3.0,1.6,2.0,-2.0,-0.3,-2,1,30,30,0.1935483870967742,0.3870967741935484,-0.6129032258064516,31,50.0,away_win
1580.9312164155597,1375.1616525968582,270.7695638187015,1,0.6,0.2,1.5,1.0,1.2,1.8,0.8,2.0,1.0,-0.4,-3,-1,31,5,0.5,0.25,0.0,0,20.0,home_win
1685.502345399908,1627.0387811084468,58.46356429146135,0,1.8,3.0,1.9,1.8,2.0,1.4,2.8,0.8,1.0,0.8,1,5,31,90,0.4,0.2,0.2,5,20.0,away_win
1784.1212442434744,1719.8195033976474,129.301740845827,1,2.0,0.6,1.3,1.6,1.4,0.8,0.8,2.4,-0.3,-0.3,0,-2,29,29,0.6363636363636364,0.09090909090909091,1.0,11,50.0,home_win
1868.128963113957,1841.378489976369,91.75047313758796,1,2.0,2.4,2.1,1.9,0.6,0.6,3.2,0.6,0.5,1.2,1,3,29,90,0.0,0.0,-2.0,1,20.0,draw
1806.568291797829,1751.5293756365336,120.03891616129545,1,1.0,2.2,1.8,2.0,1.0,1.4,1.0,0.4,0.3,0.4,0,2,29,29,0.5,0.5,1.0,2,50.0,draw
1645.2935278126877,1630.6057011878427,79.687826624845,1,1.8,1.8,1.4,1.8,1.2,0.8,1.8,1.4,0.1,0.3,0,0,29,29,0.0,1.0,0.0,2,50.0,away_win
1657.4351778018338,1670.4328219932227,52.00235580861113,1,0.4,0.4,0.6,1.0,0.6,1.8,0.8,1.6,-1.4,-0.3,-2,-2,29,29,0.25,0.25,-0.5,4,50.0,away_win
2034.8736410023014,1732.7895837556766,367.0840572466245,1,2.0,0.6,2.2,1.1,1.2,0.4,0.2,0.6,2.2,0.0,-1,-1,29,29,0.3125,0.5,0.375,16,20.0,home_win
1609.193507315824,1747.1024699972368,-137.90896268141273,0,1.6,1.8,1.8,2.0,1.6,0.2,1.2,0.6,1.0,1.0,1,0,90,90,0.1951219512195122,0.24390243902439024,-0.5609756097560976,41,20.0,draw
