elo_home,elo_away,elo_diff,home_adv,ppg5_home,ppg5_away,ppg10_home,ppg10_away,gf5_home,ga5_home,gf5_away,ga5_away,gd10_home,gd10_away,streak_home,streak_away,rest_home,rest_away,h2h_winrate_home,h2h_drawrate,h2h_gd_home,h2h_games,importance,home_score
1527.142060410481,1391.7230061309683,200.4190542795127,1,1.6,1.0,1.3,0.6,0.8,0.4,0.6,1.4,-0.1,-0.9,2,1,33,31,0.5,0.0,-0.5,2,50.0,1
1526.7622489213375,1370.3450001411911,221.41724878014634,1,1.2,1.6,1.3,1.4,1.0,1.0,0.6,0.6,-0.3,-0.1,1,0,33,90,0.3333333333333333,0.6666666666666666,0.3333333333333333,3,50.0,1
1859.4419880687196,1419.9697961299344,504.4721919387853,1,1.4,1.8,1.9,1.2,1.6,1.2,1.2,1.2,0.7,-0.4,-1,-1,33,90,0.6153846153846154,0.3076923076923077,1.3076923076923077,13,50.0,2
1559.527607173656,1407.3873688732522,152.14023830040378,0,1.6,1.0,1.1,0.9,1.2,1.2,0.8,1.0,0.0,-0.1,1,-2,90,90,0.0,0.5,-0.5,2,50.0,2
1903.8201690798148,1930.0255511829391,38.79461789687571,1,2.0,1.2,2.3,1.7,2.0,0.6,1.0,2.8,1.4,-0.5,1,1,28,29,0.375,0.25,0.0,8,20.0,2
1562.580403058867,1327.9708491172257,299.60955394164125,1,1.4,0.6,1.1,0.7,1.6,1.4,0.4,1.4,-0.3,-1.1,2,-3,32,32,1.0,0.0,1.0,1,50.0,1
2024.1749458408794,2086.6942732313555,2.4806726095239355,1,1.0,1.6,1.8,1.9,0.4,0.6,1.2,0.4,1.1,2.0,0,-1,28,29,0.5,0.08333333333333333,0.08333333333333333,12,20.0,1
1247.3095387768847,1181.2301954624263,131.07934331445836,1,1.6,1.4,0.8,0.9,1.2,0.8,0.8,1.0,-1.2,-1.4,1,0,29,29,0.75,0.25,2.0,4,20.0,3
1463.603880637641,1836.7261024159684,-308.12222177832746,1,1.8,2.4,0.9,2.2,1.4,1.0,1.6,1.0,-1.0,0.6,2,3,29,28,0.0,0.0,-3.6666666666666665,6,20.0,0
1389.7772228287492,1320.108580008524,134.66864282022516,1,1.6,2.0,1.1,1.3,1.2,1.0,1.4,1.4,-1.1,-1.3,0,1,28,29,0.75,0.125,0.875,8,20.0,2
2029.9772596665307,1430.9504506824849,664.0268089840458,1,1.8,0.4,2.4,0.3,1.8,0.4,1.0,2.0,2.6,-1.8,0,0,28,28,1.0,0.0,2.3333333333333335,6,20.0,4
1678.2883655346914,1362.4303381277382,380.85802740695317,1,1.6,0.2,1.8,0.7,1.0,0.6,0.2,1.4,0.3,-1.2,0,0,28,29,0.6666666666666666,0.2222222222222222,0.9629629629629629,27,20.0,2
2027.4263335710914,1784.2059921973064,308.2203413737848,1,1.4,1.8,2.0,1.8,2.0,1.8,1.6,1.2,1.5,0.5,0,-1,29,28,0.75,0.0,0.625,8,20.0,1
2138.813700758828,1750.1633447036088,453.65035605521916,1,2.6,1.8,2.6,1.5,2.8,0.8,1.0,1.2,1.7,0.0,1,2,28,28,1.0,0.0,1.875,8,20.0,0
